"","text"
"1","regresanos a juanga y llevate al peje "
"2"," no creo que el peje pendejo le haya entendido"
"3"," terminando de revisar iniciativa de reforma educativa de amlo increible lo que leo ademas de eliminar evaluacion educat"
"4"," dias y dias de escupir odio contra los ministros empiezan a rendir frutoscierto amlo "
"5"," ahora resulta que el profeta no puede predicar lo que profesa pura patrana con este senor "
"6"," seria conveniente que amlo propusiera reducir a el numero de diputados y a el de senadores con un minimo de reque"
"7"," amlo convocara a una consulta para determinar si manda arrestar a ese senor elmer kado que tanto le estorba en sus propuest"
"8"," a ultimas fechas la tara de quienes no votaron por amlo es una sola ya se arrenpintieron cuando se van a arrepentir"
"9"," que tristeza ver mexico dividido por un grupo de pendejos que lo unico que quieren es ver a amlo fallar para poder dec"
"10"," dias y dias de escupir odio contra los ministros empiezan a rendir frutoscierto amlo "
"11"," er acto denise dresser dice no tener simpatia por ningun partidodo acto dresser apoyo electoralmente al joven pan"
"12"," dios te bendiga amlo"
"13"," recuerdo un chiste en el que tipico personaje menso llegaba a presumirle a sus amigos que creen me chingue al del camion"
"14"," recuerdo cuando decia que algo podia pasar cuando alguien no estuviera de acuerdo con amlo y muchos creian que"
"15"," dice que no puede renunciar a su salario porque vive de el y con eso mantiene a su familia eso es perfecta"
"16"," mentiras y mas mentiras como esta han perseguido a amlo desde que fue jefe en "
"17"," medina mora el que le regreso millones de dolares a raul salinas le pide a amlo respeto al poder judicial quieren res"
"18"," amlo convocara a una consulta para determinar si manda arrestar a ese senor elmer kado que tanto le estorba en sus propuest"
"19"," amlo le pone la mira a los grandes contribuyentes donde se han condondado miles de millones de pesos a los magnates de este"
"20"," que no hay capacidad de dialogo de negociacion capacidad y voluntad para acordar que el presidente es un tirano un"
"21"," la conversacion q debemos tener con morena inmediatamente es si quieren o no una democraciavan dias de gobierno"
"22"," las imagenes del magistrado serrano que se viralizaron demuestran por que los mexicanos no apoyan los lujos y altos s"
"23"," esperamos que pueda hacerlo al menos en la era mitad de su sexenio para que la da mitad pueda dedicarse a reconstruir al p"
"24"," la cara de amlo con minusculas porque asi se veia  "
"25"," tal vez en el caso de amlo el sueldo que el mismo se asigno sea correcto y acorde al nivel de preparacion y conocimientos q"
"26"," amlo esta equivocado el inee no evalua a los maestros eso la hace la sep el inee evalua a la educacion en general pr"
"27"," celebran con jubilo abrogacion de la reforma educativa duro amlo contra el prian "
"28"," la mayoria de los poblanos estamos indignados por darle el triunfo a la corrupta de martha erika y a "
"29"," ahora resulta que el profeta no puede predicar lo que profesa pura patrana con este senor "
"30"," amlo esta equivocado el inee no evalua a los maestros eso la hace la sep el inee evalua a la educacion en general pr"
"31"," ficcion futbol el gobierno de amlocompro a las chivasla cuarta transformacion viene con todo y para muestra de ell"
"32"," er acto denise dresser dice no tener simpatia por ningun partidodo acto dresser apoyo electoralmente al joven pan"
"33"," algun ecologista que proteste por la destruccion de la reserva ecologica por el trenecito de amlo nadie ninguno solo sile"
"34"," en el pleito entre y de que lado estas la historia aqui  "
"35","por estas faltas jovenes perderian beca de empleo de amlo "
"36"," dias y dias de escupir odio contra los ministros empiezan a rendir frutoscierto amlo "
"37"," cieto amlo es un mentiroso dijo que gababan mil y ganan mil uuufff menos mal po "
"38"," las imagenes del magistrado serrano que se viralizaron demuestran por que los mexicanos no apoyan los lujos y altos s"
"39"," recuerdo un chiste en el que tipico personaje menso llegaba a presumirle a sus amigos que creen me chingue al del camion"
"40"," el impuesto que pagan los pasajeros en estados unidos por el uso de aeropuertos es de usd el impuesto similar pro"
"41"," las imagenes del magistrado serrano que se viralizaron demuestran por que los mexicanos no apoyan los lujos y altos s"
"42"," ahora resulta que el profeta no puede predicar lo que profesa pura patrana con este senor "
"43"," no nos enganemos la propuesta de amlo para revocar la reformaeducativa no se trata de los maestros y mucho menos de"
"44"," amlo remite a senado nombramiento en sat para su ratificacion "
"45"," se cura en salud el presidente de la coparmex gustavo de hoyos al rasgarse las vestiduras al solo anuncio de que amlo"
"46"," dudael robo de combustible huachicol es delito federalustedes decian que era en consecuencia negocio de  "
"47"," dias y dias de escupir odio contra los ministros empiezan a rendir frutoscierto amlo "
"48"," ahora resulta que el profeta no puede predicar lo que profesa pura patrana con este senor "
"49","hoy en eslahoradeopinar con y analizan el funcionamiento del "
"50"," mexicos amlo offers billion plan to stabilize central america "
"51"," veo que no tarda en ocurrir el primer linchamiento por parte de seguidores de amlo es tal el fanatismo y tal l"
"52"," a mi nadie me paga por decirle a amlo estupido y a ti mediocre"
"53"," la cara de amlo con minusculas porque asi se veia  "
"54"," enterate el presidente andres manuel lopez obrador afirmo que esta dispuesto a modificar su iniciativa de reforma ed"
"55","  ahora amlo va a la caza de la autonomia universitaria se quiere tragar el pais "
"56","se acuerdan del circo de maduro en sus platicas con los pajaritos que le bendecianahh pues arrrrrrrancamos "
"57"," el extra para los bonistas que ya rechazaron habra que dar mas son millones de dolares millones de pesosam"
"58"," el sector empresarial demando al presidente andres manuel lopez obrador respetar la autonomia de las instituciones de lo"
"59"," amlo quiere que los usuarios del aeropuerto actual paguen por su caprichito de cancelar el naim subiendo la tarifa de usopo"
"60"," amlo niega donar su sueldo porque no tendria para mantener a su familiaesta bien pero saben quienes tambien nec"
"61"," gracias a las benditas redes podemos tener una memoria de las promesas de los politicosesto decia e"
"62"," trump podria ser sentenciado por complice de su exabogado busca pleito con amlo para desviar la aten"
"63"," dice la secretaria d gob olga sanchez q donara su actual salario pero mantendra su pension d exministrano se supone q e"
"64"," no te gustaria saber pues aunque no te guste enterate de una ve "
"65"," transmision en directo de villamil informa via la llamada trumpamlo medina mora el"
"66"," recuerdo un chiste en el que tipico personaje menso llegaba a presumirle a sus amigos que creen me chingue al del camion"
"67"," amlo prometio que ningun joven que asi lo quisiese se quedaria sin ingresar a la universidad y afirmo que la alta calidad"
"68"," ahorraremos mil mdp con cancelacion del naim me canso ganso amlo "
"69"," amlo niega donar su sueldo porque no tendria para mantener a su familiaesta bien pero saben quienes tambien nec"
"70"," amlo ya no quiere que se hable tanto de futbol y desea que se le de espacio a otros deportes sobre todo al beisbol h"
"71"," un amlo quiere acabar con la inseguridad poniendo el ejemplootro amlo quiere usar al ejercito sin jefes civiles"
"72"," que curioso le exigen a amlo que acabe con las malas practicas del magisterio de ventas y herencia de plazas pero no quier"
"73"," amlo niega donar su sueldo porque no tendria para mantener a su familiaesta bien pero saben quienes tambien nec"
"74"," si lees por ahi mis tuits notaras que vote por amlo"
"75"," en el pleito entre y de que lado estas la historia aqui  "
"76"," ahora resulta que el profeta no puede predicar lo que profesa pura patrana con este senor "
"77"," medina mora el que le regreso millones de dolares a raul salinas le pide a amlo respeto al poder judicial quieren res"
"78"," mexicos amlo offers billion plan to stabilize central america "
"79"," amlo fue la segunda persona y el cuarto acontecimiento mas buscado en mexico este solo debajo de la leyenda del"
"80"," dudael robo de combustible huachicol es delito federalustedes decian que era en consecuencia negocio de  "
"81"," manana  viernes en quioscos edicion impresa de el siglo x mil pesosanalisis entrevistas y"
"82"," cual es el periodista corrupto mas ardido hoy por ver a amlo como presidente  "
"83"," amlo niega donar su sueldo porque no tendria para mantener a su familiaesta bien pero saben quienes tambien nec"
"84","amlo la verdad oculta negas via "
"85"," amlo asistira a la reunion plenaria del poder judicial de la federacion pero a comer no se quedalo recibiran los minist"
"86"," hola buenas tardes si ayer la wscuche y vi enel canal el programa q"
"87"," sigue asi we pero no chilles con que hay censura neta todos los dias tiras mierda a amlo y no veo quien te censure"
"88"," es culpa de amlo nuestro presidente es un irresponsablecuando ocurra una tragedia se va a escudar en que el pueblo es s"
"89"," er acto denise dresser dice no tener simpatia por ningun partidodo acto dresser apoyo electoralmente al joven pan"
"90"," crei oir a amlo numerosas veces que no habria elevacion de impuestos para financiar los programas sociales pero las palabra"
"91"," senadores y diputados de morena que se reunieron con amlo anoche en palacio nacional se estacionaron obstruyendo la vial"
"92"," dias y dias de escupir odio contra los ministros empiezan a rendir frutoscierto amlo "
"93","se acabaron las ventas de plazas para maestros amlo "
"94"," una raya mas al tigre  como si la gente no estuviera furiosa al ver como defienden sus millonarios sueldos "
"95"," la madre tierra esperando ansiosa que amlo le pida permiso "
"96"," asi como este periodista describio hace muchisimos anos a los venezolanos incredulos asi veo a muchos mexicanos no cr"
"97"," el que nada debe nada teme amlo presidente"
"98"," de ahi amlo va a decir que hablo con pajaritos y que uno de ellos le hizo el proyecto y el estudio de"
"99"," ahora resulta que el profeta no puede predicar lo que profesa pura patrana con este senor "
"100"," el encuentro entre amlo y maloof descripcion grafica "
"101"," dias y dias de escupir odio contra los ministros empiezan a rendir frutoscierto amlo "
"102"," ya viste que amlo perdio del pib nacional eso que viaja en volaris sipero acabo con mil empleos al cancelar"
"103"," la conversacion q debemos tener con morena inmediatamente es si quieren o no una democraciavan dias de gobierno"
"104"," recuerdo un chiste en el que tipico personaje menso llegaba a presumirle a sus amigos que creen me chingue al del camion"
"105"," pregunta honesta si amlo no puede renunciar a su sueldo actual porque vive de el entonces de que vivio durante los doce"
"106"," victor becerra en panam post denuncia q pese a su negativa el gob de amlo continua negociando la importacion de medi"
"107"," si no me da la audiencia amlo en verdad va dejar ir unos verdaderos proyectos para un "
"108","me gusto un video de ministro casi se desmaya en su informe no aguanto la presion de tener a amlo"
"109"," te puedes burlar de todo el equipo de amlo"
"110"," la conversacion q debemos tener con morena inmediatamente es si quieren o no una democraciavan dias de gobierno"
"111"," cuando utilizas a amlo para echarle la culpa de todo solo haces el ridiculola injusticia corrupcion violencia con te"
"112"," las decisiones precipitadas de pueden ser las causas de la autodestruccion de su gobierno "
"113"," josecardenasinforma independencia real y absoluta fundamental para ejercicio digno de nuestra profesion advierte el p"
"114"," tenemos a la rebel tenemos a joserra y si hijo el payaso sin gracia tenemos de hinchas a gael garcia diego luna ma"
"115"," el diputado juan carlos romero hicks informo sobre el dialogo que tuvo con el secretario de educacion"
"116"," amlo convocara a una consulta para determinar si manda arrestar a ese senor elmer kado que tanto le estorba en sus propuest"
"117"," ahora resulta que el prianismo que por anos nos tuvo en una dictadura disfrazada dice que es un dictador"
